Data;Categorie;Costo
26/09/2021;Cena fuori;10
26/09/2021;Cibo;8
24/09/2021;Cibo;50
24/09/2021;Cena fuori;13
22/09/2021;Cibo;30
19/09/2021;Cena fuori;40
19/09/2021;Cibo;15
15/09/2021;Cena fuori;13
15/09/2021;Cibo;24
14/09/2021;Cena fuori;10
13/09/2021;Generali;12
13/09/2021;Cibo;17
12/09/2021;Cibo;20
12/09/2021;Generali;8
10/09/2021;Generali;10
10/09/2021;Cibo;42
10/09/2021;Casalinghi;50
09/09/2021;Cena fuori;15
07/09/2021;Casalinghi;46
06/09/2021;Cena fuori;16
06/09/2021;Generali;14
05/09/2021;Cena fuori;50
28/08/2021;Generali;25
28/08/2021;Cena fuori;6
26/08/2021;Generali;13
24/08/2021;Generali;33
18/08/2021;Generali;20
08/08/2021;Pagamento;16,8
08/08/2021;Pagamento;16
08/08/2021;Generali;16
01/08/2021;Generali;6,8
01/08/2021;Generali;10
01/08/2021;Cibo;18
30/07/2021;Generali;16
30/07/2021;Cena fuori;14
27/07/2021;Cena fuori;14
27/07/2021;Cibo;10
27/07/2021;Pagamento;45,15
25/07/2021;Generali;17,4
25/07/2021;Cena fuori;21,5
24/07/2021;Cena fuori;12
24/07/2021;Cena fuori;30
24/07/2021;Cena fuori;20
24/07/2021;Cibo;5
20/07/2021;Cibo;5
20/07/2021;Cibo;43
18/07/2021;Cena fuori;76
08/07/2021;Cibo;110
01/07/2021;Cibo;22
01/07/2021;Cibo;30
29/06/2021;Cibo;26
27/06/2021;Cena fuori;14
23/06/2021;Viaggio;24
23/06/2021;Generali;49
18/06/2021;Cibo;100
18/06/2021;Cena fuori;14
18/06/2021;Generali;34
15/06/2021;Generali;26
14/06/2021;Cibo;44,3
14/06/2021;Cena fuori;38
12/06/2021;Cibo;110
08/06/2021;Cibo;40
04/06/2021;Cena fuori;10
03/06/2021;Cibo;85
02/06/2021;Cena fuori;14
29/05/2021;Cena fuori;12
28/05/2021;Cibo;34
28/05/2021;Cibo;17
27/05/2021;Casalinghi;65
26/05/2021;Cena fuori;16,4
25/05/2021;Cibo;21
25/05/2021;Cibo;30
21/05/2021;Casalinghi;116
21/05/2021;Generali;19,5
20/05/2021;Cibo;50
20/05/2021;Casalinghi;80
20/05/2021;Cibo;60
19/05/2021;Cena fuori;14
19/05/2021;Cibo;57
06/05/2021;Cena fuori;15
04/05/2021;Cibo;39
03/05/2021;Cibo;22
26/04/2021;Cibo;16
26/04/2021;Cena fuori;14
26/04/2021;Generali;40
25/04/2021;Generali;35,5
24/04/2021;Cibo;12
23/04/2021;Cibo;10
21/04/2021;Cibo;67
18/04/2021;Cibo;30
18/04/2021;Cibo;100
15/04/2021;Cibo;30
13/04/2021;Cibo;53
13/04/2021;Generali;151,75
12/04/2021;Cena fuori;14
08/04/2021;Cibo;44
07/04/2021;Cibo;19
06/04/2021;Cibo;18
02/04/2021;Cibo;30
02/04/2021;Cibo;47
31/03/2021;Cibo;33
31/03/2021;Cibo;16
29/03/2021;Cibo;118
28/03/2021;Cena fuori;20
23/03/2021;Cibo;17
22/03/2021;Cena fuori;14,5
20/03/2021;Cibo;12
19/03/2021;Cibo;6
17/03/2021;Generali;8
17/03/2021;Cibo;53
17/03/2021;Cibo;32
16/03/2021;Cena fuori;11
15/03/2021;Cibo;52
14/03/2021;Cibo;21
12/03/2021;Cena fuori;15
12/03/2021;Pagamento;148,75
12/03/2021;Cibo;64
10/03/2021;Cibo;40
05/03/2021;Casalinghi;2,5
05/03/2021;Cibo;24
05/03/2021;Cibo;9
02/03/2021;Cibo;17
27/02/2021;Cibo;8
27/02/2021;Generali;7
27/02/2021;Generali;28
26/02/2021;Cibo;28
26/02/2021;Cibo;59
26/02/2021;Cena fuori;7
25/02/2021;Spese mediche;13,5
25/02/2021;Cena fuori;14
20/02/2021;Cena fuori;14
20/02/2021;Cibo;56,77
20/02/2021;Cibo;25,77
20/02/2021;Cibo;6,98
18/02/2021;Cibo;7
16/02/2021;Cibo;5
15/02/2021;Cena fuori;45
15/02/2021;Cibo;36
14/02/2021;Cibo;64
13/02/2021;Generali;45
13/02/2021;Cena fuori;11
12/02/2021;Cena fuori;25
09/02/2021;Cena fuori;13,5
08/02/2021;Cibo;82
05/02/2021;Generali;5
04/02/2021;Cibo;7
02/02/2021;Cibo;70
02/02/2021;Cena fuori;11
21/01/2021;Generali;22,5
06/11/2020;Cibo;15
05/11/2020;Cibo;19
05/11/2020;Cibo;32
03/11/2020;Cena fuori;12
01/11/2020;Cena fuori;15
30/10/2020;Cibo;10
29/10/2020;Cibo;5
29/10/2020;Cibo;2
27/10/2020;Cibo;25
27/10/2020;Cena fuori;11
27/10/2020;Cena fuori;14
23/10/2020;Cena fuori;12
20/10/2020;Cibo;5
20/10/2020;Cena fuori;5
15/10/2020;Cena fuori;6
11/10/2020;Cibo;2
08/10/2020;Generali;14
25/09/2020;Cena fuori;5
23/09/2020;Cibo;3
22/09/2020;Cibo;30
20/09/2020;Cena fuori;40
19/09/2020;Cena fuori;12
15/09/2020;Cibo;28
15/09/2020;Generali;17
13/09/2020;Cibo;84
11/09/2020;Cibo;16
11/09/2020;Cena fuori;6
10/09/2020;Cena fuori;15
07/09/2020;Cibo;53
06/09/2020;Cena fuori;10
03/09/2020;Cibo;25
02/09/2020;Pagamento;5,75
02/09/2020;Cena fuori;12
26/08/2020;Cena fuori;11,5
10/05/2020;Pagamento;1,52
06/05/2020;Cibo;14
06/05/2020;Generali;15
03/05/2020;Cena fuori;17
01/05/2020;Cena fuori;13
30/04/2020;Cibo;11
29/04/2020;Cena fuori;6,5
29/04/2020;Cibo;5,68
29/04/2020;Cibo;17,8
23/04/2020;Cibo;4
23/04/2020;Pagamento;4,6
06/04/2020;Cibo;13,84
30/03/2020;Cibo;2,96
27/03/2020;Cibo;13
21/03/2020;Cibo;13
18/03/2020;Cena fuori;13
18/03/2020;Cibo;4
13/03/2020;Cena fuori;14
13/03/2020;Cibo;10
07/03/2020;Cena fuori;15
04/03/2020;Spese mediche;7,9
01/03/2020;Cibo;6,2
29/02/2020;Cibo;21
28/02/2020;Pagamento;12,5
28/02/2020;Cibo;4
26/02/2020;Cibo;12,5
18/02/2020;Cibo;3,6
18/02/2020;Pagamento;5,5
16/02/2020;Cibo;6
15/02/2020;Cibo;7,9
14/02/2020;Cibo;3
14/02/2020;Cibo;11
14/02/2020;Pagamento;8,2
12/02/2020;Cibo;5
12/02/2020;Cibo;3,6
06/02/2020;Cena fuori;3
28/01/2020;Cibo;9
26/01/2020;Cibo;4
25/01/2020;Generali;17,4
25/01/2020;Cibo;5
22/01/2020;Cibo;5
22/01/2020;Pagamento;5,8
21/01/2020;Cibo;3,9
20/01/2020;Cena fuori;11
18/01/2020;Cibo;6
15/01/2020;Cibo;3,5
10/01/2020;Cibo;5
06/01/2020;Generali;20
05/01/2020;Cibo;12
04/01/2020;Generali;8
04/01/2020;Viaggio;3
04/01/2020;Cena fuori;11
02/01/2020;Generali;32,7
02/01/2020;Generali;20,7
01/01/2020;Viaggio;24
01/01/2020;Cena fuori;13
01/01/2020;Generali;7
31/12/2019;Viaggio;72
31/12/2019;Cibo;12
31/12/2019;Cena fuori;14
31/12/2019;Viaggio;1
20/12/2019;Generali;18
20/12/2019;Cena fuori;38
14/12/2019;Cibo;8
14/12/2019;Regali;10
08/12/2019;Generali;1
06/12/2019;Cibo;2
05/12/2019;Cena fuori;5
04/12/2019;Cena fuori;38
26/11/2019;Cibo;9
25/11/2019;Cibo;4,5
24/11/2019;Cibo;12
23/11/2019;Pagamento;11,93
22/11/2019;Cena fuori;4,14
22/11/2019;Generali;2
19/11/2019;Generali;9
17/11/2019;Cena fuori;7
15/11/2019;Generali;1,6
13/11/2019;Generali;20
13/11/2019;Pagamento;2,36
13/11/2019;Cibo;7,5
13/11/2019;Casalinghi;5,9
09/11/2019;Cibo;3,7
08/11/2019;Cibo;11
06/11/2019;Cibo;4,22
05/11/2019;Generali;10
04/11/2019;Cibo;3,13
03/11/2019;Cibo;2
02/11/2019;Cena fuori;11,5
30/10/2019;Cibo;1
30/10/2019;Cibo;5
29/10/2019;Cibo;2
29/10/2019;Generali;2
29/10/2019;Generali;7
26/10/2019;Cena fuori;5,5
26/10/2019;Cena fuori;15
24/10/2019;Pagamento;27,5
15/10/2019;Taxi;18
14/10/2019;Generali;35
13/10/2019;Cibo;9,2
10/10/2019;Casalinghi;10
05/10/2019;Generali;40
03/10/2019;Cena fuori;12
03/10/2019;Generali;174
03/10/2019;Regali;20
03/10/2019;Viaggio;62
02/10/2019;Cibo;4
02/10/2019;Cibo;7
